X,Y,Z
-0.207031,-0.581212,-1.74607
-0.199219,-0.581336,-1.74554
-0.191406,-0.580214,-1.75032
-0.191406,-0.577455,-1.75255
-0.19258,-0.579573,-1.75305
-0.183594,-0.577291,-1.75251
-0.178287,-0.579573,-1.75305
-0.172363,-0.579573,-1.75305
-0.167969,-0.58001,-1.75119
-0.167969,-0.577894,-1.75266
-0.160156,-0.576449,-1.75232
-0.156804,-0.579573,-1.75305
-0.152344,-0.575069,-1.75199
-0.144531,-0.580159,-1.75055
-0.149507,-0.579573,-1.75305
-0.136719,-0.579127,-1.75294
-0.136719,-0.579967,-1.75137
-0.136285,-0.579573,-1.75305
-0.199219,-0.587753,-1.75239
-0.192369,-0.587179,-1.75483
-0.191406,-0.584972,-1.74629
-0.167969,-0.584894,-1.74627
-0.175781,-0.587901,-1.75176
-0.175781,-0.58325,-1.74589
-0.167969,-0.588482,-1.74928
-0.167969,-0.58029,-1.75322
-0.16059,-0.588964,-1.74723
-0.160156,-0.588684,-1.74716
-0.160156,-0.580336,-1.75323
-0.159783,-0.588964,-1.74723
-0.152344,-0.585266,-1.74636
-0.152344,-0.588425,-1.74953
-0.144531,-0.585205,-1.74635
-0.144531,-0.588353,-1.74983
-0.144531,-0.581143,-1.75342
-0.167969,-0.595687,-1.75278
-0.175781,-0.59631,-1.75012
-0.164102,-0.59657,-1.74901
-0.152344,-0.591264,-1.74777
-0.144531,-0.591568,-1.74784
-0.183594,-0.599911,-1.7498
-0.175781,-0.597677,-1.74927
-0.183594,-0.595786,-1.75236
-0.0585938,-0.549036,-1.7464
-0.00390625,-0.548844,-1.74721
0.0195313,-0.548472,-1.7488
0.0152556,-0.54915,-1.74591
0.0195313,-0.545769,-1.74511
-0.0585938,-0.553354,-1.75492
-0.0600413,-0.554971,-1.7553
-0.0585938,-0.555301,-1.75389
-0.0548079,-0.554971,-1.7553
-0.160156,-0.564085,-1.75066
-0.121318,-0.562576,-1.75708
-0.121094,-0.562604,-1.75697
-0.121094,-0.562514,-1.75707
-0.113281,-0.563238,-1.75426
-0.113281,-0.56158,-1.75685
-0.109888,-0.562576,-1.75708
-0.0585938,-0.557687,-1.75594
-0.152344,-0.570951,-1.7556
-0.144531,-0.566106,-1.75791
-0.150548,-0.570182,-1.75887
-0.136719,-0.571191,-1.75457
-0.136719,-0.563545,-1.75731
-0.128906,-0.570443,-1.75776
-0.128906,-0.56696,-1.75811
-0.105469,-0.564862,-1.75762
-0.101581,-0.570182,-1.75887
-0.191406,-0.579153,-1.75484
-0.191406,-0.574415,-1.75986
-0.191406,-0.571274,-1.75422
-0.196464,-0.570182,-1.75887
-0.184588,-0.577788,-1.76066
-0.183594,-0.571347,-1.75391
-0.176328,-0.570182,-1.75887
-0.182232,-0.577788,-1.76066
-0.167969,-0.572789,-1.75948
-0.172737,-0.577788,-1.76066
-0.160156,-0.572055,-1.75931
-0.152344,-0.579217,-1.75457
-0.152344,-0.571057,-1.75908
-0.128906,-0.57789,-1.76022
-0.0273438,-0.577795,-1.76063
-0.0312131,-0.579573,-1.75305
-0.0273438,-0.575806,-1.75217
-0.191406,-0.586998,-1.75561
-0.189168,-0.587179,-1.75483
-0.183594,-0.578275,-1.76077
-0.183594,-0.584932,-1.75431
-0.16813,-0.585394,-1.76244
-0.167969,-0.58543,-1.76228
-0.165869,-0.585394,-1.76244
-0.160156,-0.584889,-1.76232
-0.152344,-0.583986,-1.76211
-0.144531,-0.586001,-1.75985
-0.150723,-0.585394,-1.76244
-0.136719,-0.586584,-1.75737
-0.136719,-0.580252,-1.75321
-0.0273438,-0.584641,-1.75424
-0.191406,-0.588109,-1.75505
-0.167969,-0.588883,-1.76326
-0.144531,-0.58798,-1.76305
-0.136719,-0.588806,-1.76324
-0.0585938,-0.554304,-1.75814
-0.183594,-0.562128,-1.75899
-0.186873,-0.562576,-1.75708
-0.183594,-0.560993,-1.75671
-0.181292,-0.562576,-1.75708
-0.121094,-0.559795,-1.76446
-0.122677,-0.560791,-1.76469
-0.119906,-0.560791,-1.76469
-0.113281,-0.562355,-1.75803
-0.191406,-0.569468,-1.76191
-0.191406,-0.564773,-1.7576
-0.184473,-0.568397,-1.76648
-0.183594,-0.567042,-1.76616
-0.181506,-0.568397,-1.76648
-0.161389,-0.568397,-1.76648
-0.160156,-0.568873,-1.76445
-0.160156,-0.567355,-1.76623
-0.152344,-0.568972,-1.76402
